,product_group,confidence,support,lift
5554,"frozenset({31047401.0, 31047450.0, 31047492.0}),frozenset({31047520.0, 31047436.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
4898,"frozenset({31047464.0, 31047450.0, 31047436.0}),frozenset({31047492.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
6336,"frozenset({31047492.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0})",1.0,0.0010826771653543307,923.6363636363636
6355,"frozenset({31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
4905,"frozenset({31047450.0, 35661703.0}),frozenset({31047464.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6376,"frozenset({31047520.0, 31047492.0, 31047401.0, 31047450.0, 31047485.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
4899,"frozenset({31047492.0, 35661703.0}),frozenset({31047464.0, 31047450.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
4935,"frozenset({31047450.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6394,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047492.0}),frozenset({31047436.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6405,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047415.0}),frozenset({31047485.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
5001,"frozenset({31047520.0, 31047450.0, 35661703.0}),frozenset({31047464.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
5020,"frozenset({31047492.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047450.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6407,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0}),frozenset({31047492.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
5016,"frozenset({31047520.0, 35661703.0}),frozenset({31047464.0, 31047450.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
5014,"frozenset({31047464.0, 31047450.0, 31047436.0}),frozenset({31047520.0, 31047492.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
4892,"frozenset({31047464.0, 31047492.0, 31047436.0}),frozenset({31047450.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
5008,"frozenset({31047464.0, 31047492.0, 31047436.0}),frozenset({31047520.0, 31047450.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
5007,"frozenset({31047450.0, 31047492.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6335,"frozenset({31047401.0, 31047450.0, 31047492.0}),frozenset({31047520.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6330,"frozenset({31047520.0, 31047436.0, 31047415.0}),frozenset({31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
6329,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047492.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6310,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047492.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6001,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6065,"frozenset({31047401.0, 31047450.0, 31047492.0, 31047485.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6077,"frozenset({31047401.0, 31047450.0, 31047492.0}),frozenset({31047436.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
5956,"frozenset({31047436.0, 31047415.0}),frozenset({31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
5551,"frozenset({31047520.0, 31047436.0, 31047485.0}),frozenset({31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
5941,"frozenset({31047401.0, 31047450.0, 31047492.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6092,"frozenset({31047436.0, 31047485.0, 31047415.0}),frozenset({31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
4929,"frozenset({31047520.0, 35661703.0}),frozenset({31047464.0, 31047450.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
4928,"frozenset({31047464.0, 31047450.0, 31047436.0}),frozenset({31047520.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
6104,"frozenset({31047436.0, 31047415.0}),frozenset({31047401.0, 31047450.0, 31047492.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
6189,"frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0}),frozenset({31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6201,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047436.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6216,"frozenset({31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0})",1.0,0.0010826771653543307,923.6363636363636
6228,"frozenset({31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
4922,"frozenset({31047520.0, 31047464.0, 31047436.0}),frozenset({31047450.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
5002,"frozenset({31047520.0, 31047464.0, 31047436.0}),frozenset({31047450.0, 31047492.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
5026,"frozenset({31047450.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6016,"frozenset({31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0})",1.0,0.0010826771653543307,923.6363636363636
4873,"frozenset({31047492.0, 35661703.0}),frozenset({31047520.0, 31047464.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6438,"frozenset({31047520.0, 31047436.0, 31047485.0}),frozenset({31047401.0, 31047450.0, 31047492.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6436,"frozenset({31047520.0, 31047436.0, 31047415.0}),frozenset({31047401.0, 31047450.0, 31047492.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
6444,"frozenset({31047401.0, 31047450.0, 31047492.0}),frozenset({31047520.0, 31047436.0, 31047485.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6434,"frozenset({31047520.0, 31047401.0, 31047450.0}),frozenset({31047485.0, 31047492.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6419,"frozenset({31047485.0, 31047492.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0})",1.0,0.0010826771653543307,923.6363636363636
6446,"frozenset({31047492.0, 31047436.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
6417,"frozenset({31047401.0, 31047450.0, 31047492.0, 31047485.0}),frozenset({31047520.0, 31047436.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
6415,"frozenset({31047401.0, 31047450.0, 31047492.0, 31047415.0}),frozenset({31047520.0, 31047436.0, 31047485.0})",1.0,0.0010826771653543307,923.6363636363636
6448,"frozenset({31047485.0, 31047492.0, 31047436.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047415.0})",1.0,0.0010826771653543307,923.6363636363636
4867,"frozenset({31047464.0, 31047492.0, 31047436.0}),frozenset({31047520.0, 35661703.0})",1.0,0.0010826771653543307,923.6363636363636
4870,"frozenset({31047520.0, 35661703.0}),frozenset({31047464.0, 31047492.0, 31047436.0})",1.0,0.0010826771653543307,923.6363636363636
6459,"frozenset({31047436.0, 31047485.0, 31047415.0}),frozenset({31047520.0, 31047401.0, 31047450.0, 31047492.0})",1.0,0.0010826771653543307,923.6363636363636
