,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({33700716.0}),frozenset({34951742.0}),0.26174724342663275,0.004410517387616625,0.0013570822731128074,0.005184705119896306,1.175532180068797,0.0002026415048189225,1.0007782225869104,0.20226332720588228
1,frozenset({34951742.0}),frozenset({33700716.0}),0.004410517387616625,0.26174724342663275,0.0013570822731128074,0.30769230769230765,1.1755321800687968,0.0002026415048189225,1.0663650928281971,0.14998296132220132
2,frozenset({33700716.0}),frozenset({36102815.0}),0.26174724342663275,0.00542832909245123,0.0018659881255301102,0.007128969539857421,1.3132898574206093,0.00044513794916840573,1.0017128513122373,0.3231325200534759
3,frozenset({36102815.0}),frozenset({33700716.0}),0.00542832909245123,0.26174724342663275,0.0018659881255301102,0.34375,1.313289857420609,0.00044513794916840573,1.124956581445131,0.23985548819251698
4,frozenset({32831085.0}),frozenset({32851406.0}),0.003223070398642918,0.0018659881255301102,0.0010178117048346056,0.3157894736842105,169.23444976076553,0.0010117974937429903,1.4588112481242252,0.997305423190379
5,frozenset({32851406.0}),frozenset({32831085.0}),0.0018659881255301102,0.003223070398642918,0.0010178117048346056,0.5454545454545454,169.23444976076553,0.0010117974937429903,2.1929092451229852,0.9959494674824382
6,frozenset({33937771.0}),frozenset({33700716.0}),0.009669211195928753,0.26174724342663275,0.002883799830364716,0.29824561403508776,1.1394412798035272,0.00035291045372042983,1.0520101781170483,0.12357173085061363
7,frozenset({33700716.0}),frozenset({33937771.0}),0.26174724342663275,0.009669211195928753,0.002883799830364716,0.011017498379779651,1.1394412798035272,0.00035291045372042983,1.0013633074211545,0.16576557093425606
8,frozenset({34199200.0}),frozenset({33937771.0}),0.004919423240033927,0.009669211195928753,0.0018659881255301102,0.37931034482758624,39.22867513611616,0.001818421183260062,1.5955329375176706,0.9793261630970461
9,frozenset({33937771.0}),frozenset({34199200.0}),0.009669211195928753,0.004919423240033927,0.0018659881255301102,0.1929824561403509,39.22867513611616,0.001818421183260062,1.2330346277243058,0.9840231710735309
10,frozenset({35180012.0}),frozenset({33700716.0}),0.004580152671755725,0.26174724342663275,0.0015267175572519084,0.3333333333333333,1.27349319507453,0.00032787522094672016,1.1073791348600506,0.2157464212678936
11,frozenset({33700716.0}),frozenset({35180012.0}),0.26174724342663275,0.004580152671755725,0.0015267175572519084,0.005832793259883344,1.27349319507453,0.00032787522094672016,1.0012599898484231,0.2909007352941176
12,frozenset({32882024.0}),frozenset({34843564.0}),0.025954198473282442,0.04308736217133164,0.0011874469889737065,0.0457516339869281,1.0618341824918942,6.914903948876329e-05,1.0027920108752482,0.05978504254366324
13,frozenset({34843564.0}),frozenset({32882024.0}),0.04308736217133164,0.025954198473282442,0.0011874469889737065,0.027559055118110232,1.0618341824918942,6.914903948876329e-05,1.00165033841209,0.06085547142097401
14,frozenset({32605090.0}),frozenset({32605083.0}),0.0010178117048346056,0.0016963528413910093,0.0010178117048346056,1.0,589.5,0.0010160851370571084,inf,0.9993207675326882
15,frozenset({32605083.0}),frozenset({32605090.0}),0.0016963528413910093,0.0010178117048346056,0.0010178117048346056,0.6,589.5,0.0010160851370571084,2.4974554707379135,1.0
16,frozenset({33700716.0}),frozenset({35573461.0}),0.26174724342663275,0.002714164546225615,0.0013570822731128074,0.005184705119896306,1.9102397926117953,0.0006466571849319552,1.0024834163551621,0.6454503676470589
17,frozenset({35573461.0}),frozenset({33700716.0}),0.002714164546225615,0.26174724342663275,0.0013570822731128074,0.5,1.910239792611795,0.0006466571849319552,1.4765055131467344,0.4778023473379826
18,frozenset({33700716.0}),frozenset({33995773.0}),0.26174724342663275,0.0071246819338422395,0.0022052586938083123,0.008425145819831498,1.1825293954263494,0.000340392837333575,1.0013115135791382,0.2090815893665158
19,frozenset({33995773.0}),frozenset({33700716.0}),0.0071246819338422395,0.26174724342663275,0.0022052586938083123,0.30952380952380953,1.1825293954263494,0.000340392837333575,1.0691936474510835,0.15546268185940143
20,frozenset({33817091.0}),frozenset({33995773.0}),0.11162001696352841,0.0071246819338422395,0.0010178117048346056,0.00911854103343465,1.2798523664785062,0.00022255458651939037,1.0020122074962146,0.2461332824135955
21,frozenset({33995773.0}),frozenset({33817091.0}),0.0071246819338422395,0.11162001696352841,0.0010178117048346056,0.14285714285714285,1.2798523664785062,0.00022255458651939037,1.0364433135425501,0.22022894242268917
22,frozenset({33817091.0}),frozenset({31483046.0}),0.11162001696352841,0.005937234944868533,0.0010178117048346056,0.00911854103343465,1.5358228397742075,0.00035509743957192624,1.0032105819114672,0.3927184774998408
23,frozenset({31483046.0}),frozenset({33817091.0}),0.005937234944868533,0.11162001696352841,0.0010178117048346056,0.17142857142857143,1.5358228397742075,0.00035509743957192624,1.0721827381474658,0.3509670079635949
24,frozenset({34252904.0}),frozenset({31483046.0}),0.015776081424936386,0.005937234944868533,0.0022052586938083123,0.13978494623655915,23.54377880184332,0.0021115923918790885,1.1555979643765903,0.9728740752525654
25,frozenset({31483046.0}),frozenset({34252904.0}),0.005937234944868533,0.015776081424936386,0.0022052586938083123,0.37142857142857144,23.54377880184332,0.0021115923918790885,1.5658107795512377,0.9632449461800996
26,frozenset({33801586.0}),frozenset({31483046.0}),0.002544529262086514,0.005937234944868533,0.0011874469889737065,0.4666666666666666,78.6,0.001172339520920606,1.863867684478371,0.9897959183673469
27,frozenset({31483046.0}),frozenset({33801586.0}),0.005937234944868533,0.002544529262086514,0.0011874469889737065,0.19999999999999998,78.6,0.001172339520920606,1.2468193384223918,0.9931740614334472
28,frozenset({35879844.0}),frozenset({33700716.0}),0.0037319762510602205,0.26174724342663275,0.0013570822731128074,0.36363636363636365,1.3892653037176692,0.00038024777686413553,1.1601114746152914,0.281244679039673
29,frozenset({33700716.0}),frozenset({35879844.0}),0.26174724342663275,0.0037319762510602205,0.0013570822731128074,0.005184705119896306,1.3892653037176692,0.00038024777686413553,1.001460300094211,0.37953814338235287
30,frozenset({35876715.0}),frozenset({35879844.0}),0.002035623409669211,0.0037319762510602205,0.0013570822731128074,0.6666666666666666,178.63636363636363,0.0013494853748918197,2.988804071246819,0.9964303926568078
31,frozenset({35879844.0}),frozenset({35876715.0}),0.0037319762510602205,0.002035623409669211,0.0013570822731128074,0.36363636363636365,178.63636363636365,0.0013494853748918197,1.5682297346419485,0.9981270219649242
32,frozenset({35876715.0}),frozenset({35879935.0}),0.002035623409669211,0.0037319762510602205,0.0013570822731128074,0.6666666666666666,178.63636363636363,0.0013494853748918197,2.988804071246819,0.9964303926568078
33,frozenset({35879935.0}),frozenset({35876715.0}),0.0037319762510602205,0.002035623409669211,0.0013570822731128074,0.36363636363636365,178.63636363636365,0.0013494853748918197,1.5682297346419485,0.9981270219649242
34,frozenset({35876715.0}),frozenset({35876855.0}),0.002035623409669211,0.0022052586938083123,0.0010178117048346056,0.5,226.7307692307692,0.0010133226286131128,1.9955894826123834,0.9976202617712051
35,frozenset({35876855.0}),frozenset({35876715.0}),0.0022052586938083123,0.002035623409669211,0.0010178117048346056,0.4615384615384615,226.73076923076923,0.0010133226286131128,1.853362413667757,0.9977898673920435
36,frozenset({33700716.0}),frozenset({34366556.0}),0.26174724342663275,0.002544529262086514,0.0011874469889737065,0.004536616979909268,1.782890473104342,0.0005214234688041575,1.0020011662425785,0.5948004201680672
37,frozenset({34366556.0}),frozenset({33700716.0}),0.002544529262086514,0.26174724342663275,0.0011874469889737065,0.4666666666666666,1.782890473104342,0.0005214234688041575,1.3842239185750633,0.4402332361516034
38,frozenset({35609252.0}),frozenset({33700716.0}),0.009329940627650551,0.26174724342663275,0.003223070398642918,0.34545454545454546,1.3198020385317857,0.0007809841580212382,1.1278861558759776,0.24459264599855804
39,frozenset({33700716.0}),frozenset({35609252.0}),0.26174724342663275,0.009329940627650551,0.003223070398642918,0.012313674659753727,1.319802038531786,0.0007809841580212382,1.003020932815968,0.3282217492260062
40,frozenset({35609252.0}),frozenset({35609245.0}),0.009329940627650551,0.009838846480067854,0.003223070398642918,0.34545454545454546,35.111285266457685,0.0031312745451393164,1.5127462067665631,0.9806687094448451
41,frozenset({35609245.0}),frozenset({35609252.0}),0.009838846480067854,0.009329940627650551,0.003223070398642918,0.32758620689655177,35.111285266457685,0.0031312745451393164,1.473304190861443,0.981172736535531
42,frozenset({35609266.0}),frozenset({35609252.0}),0.010687022900763359,0.009329940627650551,0.0033927056827820186,0.31746031746031744,34.02597402597402,0.0032929963936315547,1.451446831173442,0.9810956790123457
43,frozenset({35609252.0}),frozenset({35609266.0}),0.009329940627650551,0.010687022900763359,0.0033927056827820186,0.36363636363636365,34.02597402597403,0.0032929963936315547,1.5546346782988003,0.9797517123287671
44,"frozenset({33700716.0, 35609252.0})",frozenset({35609245.0}),0.003223070398642918,0.009838846480067854,0.0011874469889737065,0.3684210526315789,37.44555353901996,0.0011557356941270078,1.5677551597398927,0.9764416998930273
45,"frozenset({35609252.0, 35609245.0})",frozenset({33700716.0}),0.003223070398642918,0.26174724342663275,0.0011874469889737065,0.3684210526315789,1.4075451103455332,0.0003438171967589445,1.1689001979078315,0.2904794320723524
46,"frozenset({33700716.0, 35609245.0})",frozenset({35609252.0}),0.002374893977947413,0.009329940627650551,0.0011874469889737065,0.5,53.59090909090909,0.0011652893691624924,1.9813401187446988,0.9836762455364735
47,frozenset({35609252.0}),"frozenset({33700716.0, 35609245.0})",0.009329940627650551,0.002374893977947413,0.0011874469889737065,0.12727272727272726,53.590909090909086,0.0011652893691624924,1.1431121006502685,0.990582191780822
48,frozenset({33700716.0}),"frozenset({35609252.0, 35609245.0})",0.26174724342663275,0.003223070398642918,0.0011874469889737065,0.004536616979909268,1.4075451103455332,0.0003438171967589445,1.001319532796155,0.39220063025210083
49,frozenset({35609245.0}),"frozenset({33700716.0, 35609252.0})",0.009838846480067854,0.003223070398642918,0.0011874469889737065,0.1206896551724138,37.44555353901996,0.0011557356941270078,1.133589449350563,0.9829658092464328
50,"frozenset({35609266.0, 35609252.0})",frozenset({33700716.0}),0.0033927056827820186,0.26174724342663275,0.0015267175572519084,0.45,1.7192158133506157,0.0006386861970258431,1.342277739224304,0.4197635933806147
51,"frozenset({35609266.0, 33700716.0})",frozenset({35609252.0}),0.004410517387616625,0.009329940627650551,0.0015267175572519084,0.34615384615384615,37.1013986013986,0.0014855676918882248,1.5151424437459462,0.977357490392079
52,"frozenset({33700716.0, 35609252.0})",frozenset({35609266.0}),0.003223070398642918,0.010687022900763359,0.0015267175572519084,0.47368421052631576,44.32330827067669,0.001492272530090839,1.8796946564885493,0.9805990469707284
53,frozenset({35609266.0}),"frozenset({33700716.0, 35609252.0})",0.010687022900763359,0.003223070398642918,0.0015267175572519084,0.14285714285714285,44.323308270676684,0.001492272530090839,1.1629064178682498,0.9879972565157752
54,frozenset({35609252.0}),"frozenset({35609266.0, 33700716.0})",0.009329940627650551,0.004410517387616625,0.0015267175572519084,0.16363636363636364,37.1013986013986,0.0014855676918882248,1.1903787292104582,0.982210806697108
55,frozenset({33700716.0}),"frozenset({35609266.0, 35609252.0})",0.26174724342663275,0.0033927056827820186,0.0015267175572519084,0.005832793259883344,1.7192158133506157,0.0006386861970258431,1.0024544036059109,0.5666615604575164
56,frozenset({33817091.0}),frozenset({35315231.0}),0.11162001696352841,0.00729431721798134,0.0011874469889737065,0.010638297872340425,1.458436417615042,0.00037325517736527195,1.0033799374355887,0.3538285277830819
57,frozenset({35315231.0}),frozenset({33817091.0}),0.00729431721798134,0.11162001696352841,0.0011874469889737065,0.1627906976744186,1.458436417615042,0.00037325517736527195,1.0611205352935633,0.31664388243335617
58,frozenset({33817091.0}),frozenset({36135855.0}),0.11162001696352841,0.010178117048346057,0.0015267175572519084,0.013677811550151976,1.3438449848024314,0.0003906359596587438,1.0035482264748665,0.2880147667239513
59,frozenset({36135855.0}),frozenset({33817091.0}),0.010178117048346057,0.11162001696352841,0.0015267175572519084,0.15,1.3438449848024316,0.0003906359596587438,1.0451529212193784,0.2584975721222507
60,frozenset({35209202.0}),frozenset({33817091.0}),0.01662425784563189,0.11162001696352841,0.0018659881255301102,0.11224489795918367,1.005598287947398,1.038818279460829e-05,1.0007038889376347,0.005661235435256521
61,frozenset({33817091.0}),frozenset({35209202.0}),0.11162001696352841,0.01662425784563189,0.0018659881255301102,0.016717325227963525,1.0055982879473977,1.038818279460829e-05,1.0000946496716758,0.006266599545194205
62,frozenset({32882024.0}),frozenset({35209202.0}),0.025954198473282442,0.01662425784563189,0.0016963528413910093,0.06535947712418301,3.931572629051621,0.0012648835537944565,1.0521432765707575,0.7655172413793104
63,frozenset({35209202.0}),frozenset({32882024.0}),0.01662425784563189,0.025954198473282442,0.0016963528413910093,0.10204081632653061,3.9315726290516206,0.0012648835537944565,1.084732824427481,0.7582542694497154
64,frozenset({33700716.0}),frozenset({35333263.0}),0.26174724342663275,0.0033927056827820186,0.0010178117048346056,0.0038885288399222295,1.1461438755670772,0.0001297803446085403,1.0004977587062247,0.1727175245098039
65,frozenset({35333263.0}),frozenset({33700716.0}),0.0033927056827820186,0.26174724342663275,0.0010178117048346056,0.3,1.146143875567077,0.0001297803446085403,1.0546467951048104,0.12794326241134749
66,frozenset({33817091.0}),frozenset({35315196.0}),0.11162001696352841,0.010178117048346057,0.0013570822731128074,0.0121580547112462,1.194528875379939,0.0002210006755196429,1.0020043061264436,0.18331105594806182
67,frozenset({35315196.0}),frozenset({33817091.0}),0.010178117048346057,0.11162001696352841,0.0013570822731128074,0.13333333333333333,1.1945288753799392,0.0002210006755196429,1.025053826580544,0.1645244215938303
68,frozenset({34252904.0}),frozenset({35315196.0}),0.015776081424936386,0.010178117048346057,0.0018659881255301102,0.11827956989247312,11.620967741935484,0.0017054173222228698,1.1226028672500465,0.928598288991257
69,frozenset({35315196.0}),frozenset({34252904.0}),0.010178117048346057,0.015776081424936386,0.0018659881255301102,0.18333333333333332,11.620967741935484,0.0017054173222228698,1.2051721451939554,0.9233465763028745
70,frozenset({33700716.0}),frozenset({35881790.0}),0.26174724342663275,0.004580152671755725,0.0013570822731128074,0.005184705119896306,1.13199395117736,0.00015823993680761923,1.0006077032100853,0.15794462316176464
71,frozenset({35881790.0}),frozenset({33700716.0}),0.004580152671755725,0.26174724342663275,0.0013570822731128074,0.2962962962962963,1.13199395117736,0.00015823993680761923,1.0490960224989954,0.11713957055214716
72,frozenset({36530235.0}),frozenset({36530221.0}),0.0015267175572519084,0.0015267175572519084,0.0011874469889737065,0.7777777777777778,509.44444444444446,0.0011851161224740853,4.4931297709923665,0.9995631280034949
73,frozenset({36530221.0}),frozenset({36530235.0}),0.0015267175572519084,0.0015267175572519084,0.0011874469889737065,0.7777777777777778,509.44444444444446,0.0011851161224740853,4.4931297709923665,0.9995631280034949
74,frozenset({36168384.0}),frozenset({33817091.0}),0.004919423240033927,0.11162001696352841,0.0010178117048346056,0.20689655172413793,1.8535792893826644,0.00046870559933124276,1.1201312829590293,0.4627798613478804
75,frozenset({33817091.0}),frozenset({36168384.0}),0.11162001696352841,0.004919423240033927,0.0010178117048346056,0.00911854103343465,1.8535792893826644,0.00046870559933124276,1.0042377599816836,0.5183629304309083
76,frozenset({35931084.0}),frozenset({33700716.0}),0.008651399491094147,0.26174724342663275,0.002883799830364716,0.33333333333333337,1.2734931950745303,0.0006193198617882498,1.1073791348600508,0.21663244353182765
77,frozenset({33700716.0}),frozenset({35931084.0}),0.26174724342663275,0.008651399491094147,0.002883799830364716,0.011017498379779651,1.2734931950745303,0.0006193198617882498,1.002392457788494,0.29090073529411786
78,frozenset({35930944.0}),frozenset({33700716.0}),0.004410517387616625,0.26174724342663275,0.0022052586938083123,0.5,1.910239792611795,0.0010508179255144274,1.4765055131467344,0.47861645936275343
79,frozenset({33700716.0}),frozenset({35930944.0}),0.26174724342663275,0.004410517387616625,0.0022052586938083123,0.008425145819831498,1.9102397926117953,0.0010508179255144274,1.004048739654188,0.6454503676470589
80,frozenset({35930944.0}),frozenset({35931084.0}),0.004410517387616625,0.008651399491094147,0.002035623409669211,0.4615384615384615,53.34841628959276,0.001997466261786523,1.841075972373682,0.9856023172601807
81,frozenset({35931084.0}),frozenset({35930944.0}),0.008651399491094147,0.004410517387616625,0.002035623409669211,0.23529411764705885,53.34841628959276,0.001997466261786523,1.3019247080315783,0.9898186173853526
82,"frozenset({35930944.0, 35931084.0})",frozenset({33700716.0}),0.002035623409669211,0.26174724342663275,0.0011874469889737065,0.5833333333333334,2.228613091380428,0.0006546281728380673,1.7718066157760815,0.5524149486413638
83,"frozenset({35930944.0, 33700716.0})",frozenset({35931084.0}),0.0022052586938083123,0.008651399491094147,0.0011874469889737065,0.5384615384615384,62.23981900452489,0.0011683684150323624,2.147921967769296,0.9861077378928449
84,"frozenset({33700716.0, 35931084.0})",frozenset({35930944.0}),0.002883799830364716,0.004410517387616625,0.0011874469889737065,0.4117647058823529,93.35972850678732,0.001174727939679477,1.6925021204410515,0.9921499052155737
85,frozenset({35930944.0}),"frozenset({33700716.0, 35931084.0})",0.004410517387616625,0.002883799830364716,0.0011874469889737065,0.2692307692307692,93.35972850678732,0.001174727939679477,1.3644748002321323,0.9936713482462332
86,frozenset({35931084.0}),"frozenset({35930944.0, 33700716.0})",0.008651399491094147,0.0022052586938083123,0.0011874469889737065,0.13725490196078433,62.23981900452489,0.0011683684150323624,1.1565348137867222,0.992519800528014
87,frozenset({33700716.0}),"frozenset({35930944.0, 35931084.0})",0.26174724342663275,0.002035623409669211,0.0011874469889737065,0.004536616979909268,2.228613091380428,0.0006546281728380673,1.0025123913273961,0.7467502626050421
88,frozenset({35874321.0}),frozenset({33700716.0}),0.0033927056827820186,0.26174724342663275,0.002035623409669211,0.6,2.292287751134154,0.001147592049443146,1.845631891433418,0.5656737588652483
89,frozenset({33700716.0}),frozenset({35874321.0}),0.26174724342663275,0.0033927056827820186,0.002035623409669211,0.007777057679844459,2.2922877511341544,0.001147592049443146,1.0044187166110172,0.7636335784313727
90,frozenset({35874370.0}),frozenset({33700716.0}),0.003223070398642918,0.26174724342663275,0.0013570822731128074,0.42105263157894735,1.608622983252038,0.0005134524808980454,1.2751638522630888,0.37957368958475146
91,frozenset({33700716.0}),frozenset({35874370.0}),0.26174724342663275,0.003223070398642918,0.0013570822731128074,0.005184705119896306,1.608622983252038,0.0005134524808980454,1.0019718582246866,0.512494255514706
92,frozenset({35874321.0}),frozenset({35874370.0}),0.0033927056827820186,0.003223070398642918,0.0011874469889737065,0.35,108.59210526315788,0.0011765120597162242,1.5335029686174724,0.9941641337386017
93,frozenset({35874370.0}),frozenset({35874321.0}),0.003223070398642918,0.0033927056827820186,0.0011874469889737065,0.3684210526315789,108.59210526315789,0.0011765120597162242,1.5779615493355952,0.9939949431099873
94,frozenset({33700716.0}),frozenset({35875245.0}),0.26174724342663275,0.0030534351145038168,0.0010178117048346056,0.0038885288399222295,1.27349319507453,0.0002185834806311468,1.0008383536879117,0.29090073529411764
