,product_group,confidence,support,lift
3164,"frozenset({32078802.0, 32078795.0, 32842551.0}),frozenset({32079103.0})",1.0,0.001124561751670305,75.96482412060301
718,"frozenset({32476192.0, 32079103.0, 32078935.0}),frozenset({32078795.0})",1.0,0.001455315208043924,115.39694656488548
2678,"frozenset({36657873.0}),frozenset({36657922.0})",1.0,0.0017199179731428194,581.4230769230769
2679,"frozenset({36657922.0}),frozenset({36657873.0})",1.0,0.0017199179731428194,581.4230769230769
3222,"frozenset({32078802.0, 32079082.0, 32842551.0}),frozenset({32079103.0})",1.0,0.0011907124429450288,75.96482412060301
1829,"frozenset({36484091.0}),frozenset({36484105.0})",1.0,0.0013230138254944764,629.875
761,"frozenset({32476192.0, 32078970.0, 32079103.0, 32078935.0}),frozenset({32078795.0})",1.0,0.0011907124429450288,115.39694656488548
3250,"frozenset({32078802.0, 32079082.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",1.0,0.001124561751670305,75.96482412060301
2786,"frozenset({32092515.0, 34129942.0}),frozenset({31618321.0})",1.0,0.001124561751670305,122.90243902439025
745,"frozenset({32476192.0, 32078970.0, 32079103.0}),frozenset({32078795.0})",1.0,0.0013230138254944764,115.39694656488548
3602,"frozenset({31618083.0, 32988396.0}),frozenset({31618405.0})",1.0,0.001058411060395581,92.17682926829268
995,"frozenset({32476192.0, 32078802.0, 32078935.0}),frozenset({32078795.0})",1.0,0.0011907124429450288,115.39694656488548
2029,"frozenset({36298353.0, 36298206.0}),frozenset({36298381.0})",1.0,0.0017199179731428194,229.04545454545456
142,"frozenset({32079082.0, 32078795.0, 33700716.0}),frozenset({32079103.0})",1.0,0.0015214658993186478,75.96482412060301
1052,"frozenset({32476192.0, 32078802.0, 32078970.0}),frozenset({32078795.0})",1.0,0.001124561751670305,115.39694656488548
2041,"frozenset({36298353.0, 36298122.0, 36298206.0}),frozenset({36298381.0})",1.0,0.0015876165905933718,229.04545454545456
3192,"frozenset({32078802.0, 32078795.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",1.0,0.001058411060395581,75.96482412060301
2043,"frozenset({36298122.0, 36298381.0, 36298206.0}),frozenset({36298353.0})",1.0,0.0015876165905933718,188.9625
170,"frozenset({32079082.0, 32078795.0, 33700716.0, 32078935.0}),frozenset({32079103.0})",1.0,0.001455315208043924,75.96482412060301
2547,"frozenset({31618321.0, 31618300.0, 32988396.0, 31618405.0}),frozenset({34129942.0})",1.0,0.0015214658993186478,88.40350877192982
1530,"frozenset({31618321.0, 31618300.0, 31618405.0, 32988382.0}),frozenset({34129942.0})",1.0,0.0017860686644175431,88.40350877192982
2611,"frozenset({32988396.0, 31618321.0, 34129942.0, 31618300.0, 32988382.0}),frozenset({31618405.0})",1.0,0.001455315208043924,92.17682926829268
2082,"frozenset({36298395.0, 36298381.0}),frozenset({36298353.0})",1.0,0.0020506714295164385,188.9625
2608,"frozenset({31618405.0, 32988396.0, 31618321.0, 31618300.0, 32988382.0}),frozenset({34129942.0})",1.0,0.001455315208043924,88.40350877192982
3429,"frozenset({32078816.0, 32079082.0, 32078935.0}),frozenset({32079103.0})",1.0,0.001058411060395581,75.96482412060301
2098,"frozenset({36298353.0, 36298122.0, 36298395.0}),frozenset({36298381.0})",1.0,0.001058411060395581,229.04545454545456
2101,"frozenset({36298122.0, 36298395.0, 36298381.0}),frozenset({36298353.0})",1.0,0.001058411060395581,188.9625
1665,"frozenset({33700716.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",1.0,0.001124561751670305,75.96482412060301
1158,"frozenset({31047485.0, 34925191.0}),frozenset({31047464.0})",1.0,0.001058411060395581,229.04545454545456
1025,"frozenset({32476192.0, 32078802.0, 32079103.0, 32078935.0}),frozenset({32078795.0})",1.0,0.001058411060395581,115.39694656488548
1083,"frozenset({32476192.0, 32078802.0, 32078970.0, 32078935.0}),frozenset({32078795.0})",1.0,0.001058411060395581,115.39694656488548
928,"frozenset({32476192.0, 32079082.0, 32078970.0, 32079103.0}),frozenset({32078795.0})",1.0,0.001058411060395581,115.39694656488548
856,"frozenset({32476192.0, 32079082.0, 32079103.0, 32078935.0}),frozenset({32078795.0})",1.0,0.001124561751670305,115.39694656488548
3668,"frozenset({36657866.0}),frozenset({36657901.0})",1.0,0.001124561751670305,839.8333333333334
2448,"frozenset({31618321.0, 32988396.0, 32988382.0, 34129942.0}),frozenset({31618405.0})",1.0,0.0015876165905933718,92.17682926829268
3660,"frozenset({31618104.0, 31618405.0}),frozenset({34129942.0})",1.0,0.001058411060395581,88.40350877192982
3152,"frozenset({32078802.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",1.0,0.0013891645167692002,75.96482412060301
218,"frozenset({32079082.0, 32078795.0, 32842551.0}),frozenset({32079103.0})",0.9756097560975611,0.002646027650988953,74.11202353229564
232,"frozenset({32078795.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",0.9705882352941175,0.002182972812065886,73.7305645876441
3636,"frozenset({35147952.0}),frozenset({35761131.0})",0.9705882352941175,0.002182972812065886,341.2181942544459
2235,"frozenset({32988396.0, 32988382.0, 34129942.0}),frozenset({31618405.0})",0.967741935483871,0.0019845207382417148,89.20338316286389
2010,"frozenset({36298122.0, 36298381.0}),frozenset({36298353.0})",0.967741935483871,0.0019845207382417148,182.86693548387098
2862,"frozenset({32078802.0, 32078970.0, 32078935.0}),frozenset({32078795.0})",0.967741935483871,0.0019845207382417148,111.67446441763111
2860,"frozenset({32078802.0, 32078795.0, 32078970.0}),frozenset({32078935.0})",0.967741935483871,0.0019845207382417148,75.40904556035916
3312,"frozenset({32078802.0, 32078795.0, 32079082.0}),frozenset({32078935.0})",0.9666666666666666,0.0019183700469669908,75.32525773195876
3643,"frozenset({35147952.0, 35147973.0}),frozenset({35761131.0})",0.9642857142857142,0.0017860686644175431,339.0024916943521
260,"frozenset({32079082.0, 32078795.0, 32078935.0, 32842551.0}),frozenset({32079103.0})",0.9642857142857142,0.0017860686644175431,73.25179468772433
