,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({35272153.0}),frozenset({35272195.0}),0.0027121783422636766,0.004101342859032877,0.001058411060395581,0.3902439024390244,95.15027537372148,0.0010472874871191144,1.6332737977111862,0.9921812815070311
1,frozenset({35272195.0}),frozenset({35272153.0}),0.004101342859032877,0.0027121783422636766,0.001058411060395581,0.25806451612903225,95.15027537372148,0.0010472874871191144,1.3441705422343402,0.9935652607107274
2,frozenset({31241322.0}),frozenset({30482683.0}),0.002646027650988953,0.007871932261692135,0.0013891645167692002,0.5249999999999999,66.69264705882351,0.0013683351663380508,2.088690668922753,0.9876191107868497
3,frozenset({30482683.0}),frozenset({31241322.0}),0.007871932261692135,0.002646027650988953,0.0013891645167692002,0.1764705882352941,66.69264705882352,0.0013683351663380508,1.2110726807095133,0.9928212650575632
4,frozenset({31241322.0}),frozenset({33700716.0}),0.002646027650988953,0.16623668717338097,0.001058411060395581,0.39999999999999997,2.4062077198567446,0.0006185441895260144,1.3896055213776983,0.5859587451084433
5,frozenset({33700716.0}),frozenset({31241322.0}),0.16623668717338097,0.002646027650988953,0.001058411060395581,0.006366892160764027,2.4062077198567446,0.0006185441895260144,1.0037447066532097,0.7009282767375435
6,frozenset({34609722.0}),frozenset({33700716.0}),0.010782562677779982,0.16623668717338097,0.0023814248858900575,0.22085889570552147,1.3285809496141536,0.0005889673870965737,1.0701056692184168,0.2500130028383339
7,frozenset({33700716.0}),frozenset({34609722.0}),0.16623668717338097,0.010782562677779982,0.0023814248858900575,0.01432550736171906,1.3285809496141536,0.0005889673870965737,1.0035944368149936,0.2966276138086674
8,frozenset({34609722.0}),frozenset({33817091.0}),0.010782562677779982,0.07375802077131706,0.0015214658993186478,0.1411042944785276,1.9130705108806294,0.0007261654173629238,1.0784103043876807,0.4824825115862558
9,frozenset({33817091.0}),frozenset({34609722.0}),0.07375802077131706,0.010782562677779982,0.0015214658993186478,0.02062780269058296,1.9130705108806296,0.0007261654173629238,1.0100526031266257,0.5152866360706235
10,frozenset({33700716.0}),frozenset({35929054.0}),0.16623668717338097,0.005688959449626249,0.0013230138254944764,0.007958615200955034,1.3989579766608982,0.00037730005312490813,1.002287863980381,0.34204220882259595
