,product_group,confidence,support,lift
457,"frozenset({32079082.0}),frozenset({32842551.0, 32078935.0})",1.0,0.024390243902439025,41.0
448,"frozenset({32078830.0, 32078935.0}),frozenset({32842551.0})",1.0,0.024390243902439025,41.0
442,"frozenset({32079082.0, 32078830.0}),frozenset({32842551.0})",1.0,0.024390243902439025,41.0
443,"frozenset({32079082.0, 32842551.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
444,"frozenset({32078830.0, 32842551.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
445,"frozenset({32079082.0}),frozenset({32078830.0, 32842551.0})",1.0,0.024390243902439025,41.0
446,"frozenset({32078830.0}),frozenset({32079082.0, 32842551.0})",1.0,0.024390243902439025,41.0
447,"frozenset({32842551.0}),frozenset({32079082.0, 32078830.0})",1.0,0.024390243902439025,41.0
449,"frozenset({32842551.0, 32078935.0}),frozenset({32078830.0})",1.0,0.024390243902439025,41.0
456,"frozenset({32842551.0, 32078935.0}),frozenset({32079082.0})",1.0,0.024390243902439025,41.0
450,"frozenset({32078830.0, 32842551.0}),frozenset({32078935.0})",1.0,0.024390243902439025,41.0
451,"frozenset({32078935.0}),frozenset({32078830.0, 32842551.0})",1.0,0.024390243902439025,41.0
452,"frozenset({32078830.0}),frozenset({32842551.0, 32078935.0})",1.0,0.024390243902439025,41.0
453,"frozenset({32842551.0}),frozenset({32078830.0, 32078935.0})",1.0,0.024390243902439025,41.0
454,"frozenset({32079082.0, 32078935.0}),frozenset({32842551.0})",1.0,0.024390243902439025,41.0
455,"frozenset({32079082.0, 32842551.0}),frozenset({32078935.0})",1.0,0.024390243902439025,41.0
400,"frozenset({33348714.0}),frozenset({36483454.0})",1.0,0.024390243902439025,41.0
399,"frozenset({31047485.0}),frozenset({31047464.0})",1.0,0.024390243902439025,41.0
398,"frozenset({31047464.0}),frozenset({31047485.0})",1.0,0.024390243902439025,41.0
397,"frozenset({35874006.0}),frozenset({30634464.0})",1.0,0.024390243902439025,41.0
327,"frozenset({35880880.0, 35881293.0}),frozenset({35880866.0, 36127511.0})",1.0,0.07317073170731707,10.25
329,"frozenset({35880866.0, 35881293.0}),frozenset({35880880.0, 36127511.0})",1.0,0.07317073170731707,10.25
331,"frozenset({35881293.0, 36127511.0}),frozenset({35880880.0, 35880866.0})",1.0,0.07317073170731707,10.25
334,"frozenset({35881293.0}),frozenset({35880880.0, 35880866.0, 36127511.0})",1.0,0.07317073170731707,10.25
336,"frozenset({33052194.0}),frozenset({33898991.0})",1.0,0.024390243902439025,41.0
337,"frozenset({33898991.0}),frozenset({33052194.0})",1.0,0.024390243902439025,41.0
338,"frozenset({34955872.0}),frozenset({33700716.0})",1.0,0.04878048780487805,4.1000000000000005
340,"frozenset({34266470.0}),frozenset({34265231.0})",1.0,0.024390243902439025,41.0
341,"frozenset({34265231.0}),frozenset({34266470.0})",1.0,0.024390243902439025,41.0
343,"frozenset({35606445.0}),frozenset({33700716.0})",1.0,0.024390243902439025,4.1000000000000005
344,"frozenset({35877016.0}),frozenset({35879830.0})",1.0,0.024390243902439025,41.0
345,"frozenset({35879830.0}),frozenset({35877016.0})",1.0,0.024390243902439025,41.0
347,"frozenset({31881542.0}),frozenset({33817091.0})",1.0,0.024390243902439025,20.5
349,"frozenset({31881542.0}),frozenset({35737093.0})",1.0,0.024390243902439025,13.666666666666668
350,"frozenset({33817091.0, 35737093.0}),frozenset({31881542.0})",1.0,0.024390243902439025,41.0
325,"frozenset({35880866.0, 35881293.0, 36127511.0}),frozenset({35880880.0})",1.0,0.07317073170731707,10.25
324,"frozenset({35880880.0, 35881293.0, 36127511.0}),frozenset({35880866.0})",1.0,0.07317073170731707,10.25
322,"frozenset({35880880.0, 35880866.0, 35881293.0}),frozenset({36127511.0})",1.0,0.07317073170731707,10.25
304,"frozenset({35880880.0, 35881293.0}),frozenset({36127511.0})",1.0,0.07317073170731707,10.25
294,"frozenset({35606424.0}),frozenset({33700716.0})",1.0,0.024390243902439025,4.1000000000000005
296,"frozenset({35944090.0}),frozenset({34285461.0})",1.0,0.024390243902439025,41.0
297,"frozenset({34285461.0}),frozenset({35944090.0})",1.0,0.024390243902439025,41.0
299,"frozenset({35881293.0}),frozenset({35880880.0})",1.0,0.07317073170731707,10.25
300,"frozenset({35881293.0}),frozenset({36127511.0})",1.0,0.07317073170731707,10.25
303,"frozenset({35881293.0}),frozenset({35880866.0})",1.0,0.07317073170731707,10.25
306,"frozenset({35881293.0, 36127511.0}),frozenset({35880880.0})",1.0,0.07317073170731707,10.25
320,"frozenset({35881293.0}),frozenset({35880866.0, 36127511.0})",1.0,0.07317073170731707,10.25
308,"frozenset({35881293.0}),frozenset({35880880.0, 36127511.0})",1.0,0.07317073170731707,10.25
311,"frozenset({35880880.0, 35881293.0}),frozenset({35880866.0})",1.0,0.07317073170731707,10.25
312,"frozenset({35880866.0, 35881293.0}),frozenset({35880880.0})",1.0,0.07317073170731707,10.25
315,"frozenset({35881293.0}),frozenset({35880880.0, 35880866.0})",1.0,0.07317073170731707,10.25
