,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
0,frozenset({33651121.0}),frozenset({33651205.0}),0.0017716535433070866,0.0024606299212598425,0.001279527559055118,0.7222222222222222,293.5111111111111,0.0012751681753363506,3.5911417322834644,0.998361725042853
1,frozenset({33651205.0}),frozenset({33651121.0}),0.0024606299212598425,0.0017716535433070866,0.001279527559055118,0.52,293.5111111111111,0.0012751681753363506,2.0796423884514437,0.9990512694015408
2,frozenset({33700716.0}),frozenset({35315231.0}),0.1765748031496063,0.01062992125984252,0.0020669291338582677,0.011705685618729096,1.1012015359841447,0.00018995287990575976,1.0010885060687211,0.11160821010211397
3,frozenset({35315231.0}),frozenset({33700716.0}),0.01062992125984252,0.1765748031496063,0.0020669291338582677,0.19444444444444445,1.1012015359841447,0.00018995287990575976,1.0221830029866956,0.09288840884543229
4,frozenset({34252904.0}),frozenset({35315231.0}),0.015255905511811024,0.01062992125984252,0.0014763779527559055,0.0967741935483871,9.10394265232975,0.0013142088784177568,1.0953740157480316,0.9039480259870064
5,frozenset({35315231.0}),frozenset({34252904.0}),0.01062992125984252,0.015255905511811024,0.0014763779527559055,0.1388888888888889,9.10394265232975,0.0013142088784177568,1.1435737871475742,0.8997214484679665
6,frozenset({35272153.0}),frozenset({35272195.0}),0.003543307086614173,0.0034448818897637795,0.0011811023622047244,0.3333333333333333,96.76190476190476,0.0011688960877921757,1.4948326771653542,0.993184512050573
7,frozenset({35272195.0}),frozenset({35272153.0}),0.0034448818897637795,0.003543307086614173,0.0011811023622047244,0.34285714285714286,96.76190476190476,0.0011688960877921757,1.516347141389935,0.9930864197530864
8,frozenset({33700716.0}),frozenset({34094095.0}),0.1765748031496063,0.007874015748031496,0.0018700787401574803,0.010590858416945374,1.3450390189520625,0.0004797259594519188,1.0027459243650882,0.31153667098657467
9,frozenset({34094095.0}),frozenset({33700716.0}),0.007874015748031496,0.1765748031496063,0.0018700787401574803,0.2375,1.3450390189520622,0.0004797259594519188,1.0799018975087131,0.258563074352548
10,frozenset({35147952.0}),frozenset({35761131.0}),0.0013779527559055118,0.0013779527559055118,0.0011811023622047244,0.8571428571428571,622.0408163265306,0.0011792036084072167,6.9903543307086595,0.9997700243117155
11,frozenset({35761131.0}),frozenset({35147952.0}),0.0013779527559055118,0.0013779527559055118,0.0011811023622047244,0.8571428571428571,622.0408163265306,0.0011792036084072167,6.9903543307086595,0.9997700243117155
12,frozenset({35147952.0}),frozenset({35147973.0}),0.0013779527559055118,0.001279527559055118,0.001279527559055118,0.9285714285714286,725.7142857142858,0.001277764430528861,13.982086614173234,1.0
13,frozenset({35147973.0}),frozenset({35147952.0}),0.001279527559055118,0.0013779527559055118,0.001279527559055118,1.0,725.7142857142858,0.001277764430528861,inf,0.9999014487040505
14,frozenset({35761131.0}),frozenset({35147973.0}),0.0013779527559055118,0.001279527559055118,0.0011811023622047244,0.8571428571428571,669.8901098901099,0.0011793392336784674,6.991043307086612,0.9998850121558577
15,frozenset({35147973.0}),frozenset({35761131.0}),0.001279527559055118,0.0013779527559055118,0.0011811023622047244,0.9230769230769231,669.8901098901099,0.0011793392336784674,12.982086614173237,0.9997864721921093
16,"frozenset({35147952.0, 35761131.0})",frozenset({35147973.0}),0.0011811023622047244,0.001279527559055118,0.0011811023622047244,1.0,781.5384615384615,0.0011795911091822184,inf,0.9999014584154514
